Pregunta,Respuesta1,Respuesta2,Respuesta3,Correcta
¿Cuál es la capital de Francia?, París, Londres, Berlín, París
¿Cuánt planetas hay en el sistema solar?, 8, 7, 9, 8
¿Cuál es el símbolo químico del oro?, Au, Ag, Pb, Au
¿En qué año llegó el hombre a la Luna?, 1969, 1970, 1968, 1969
¿Cuál es el río más largo del mundo?, Amazonas, Nilo, Yangtsé, Nilo
¿Cuál es el país más grande del mundo?, Rusia, Canadá, China, Rusia
¿Cuál es el océano más grande del mundo?, Pacífico, Atlántico, Índico, Pacífico
¿Cuál es el monte más alto del mundo?, K2, Everest, Aconcagua, Everest
¿Cuál es el animal más grande del mundo?, Elefante, Ballena azul, Jirafa, Ballena azul
¿Cuál es el país más poblado del mundo?, India, China, EEUU, China
¿Cuál es el país más pequeño del mundo?, Mónaco, Ciudad del Vaticano, San Marino, Ciudad del Vaticano
¿Cuál es el idioma más hablado del mundo?, Español, Chino mandarín, Inglés, Chino mandarín
¿Cuál es el continente más poblado del mundo?, África, Asia, Europa, Asia
¿Cuál es el instrumento musical más antiguo?, Tambor, Flauta, Lira, Flauta
¿Cuál es el autor de la obra 'Don Quijote de la Mancha'?, Friedrich Nietzsche, William Shakespeare, Miguel de Cervantes, Miguel de Cervantes
¿Cuál es el país con más medallas olímpicas en la historia?, Rusia, China, Estados Unidos, Estados Unidos
¿Cuál es el deporte más popular del mundo?, Cricket, Baloncesto, Fútbol, Fútbol
¿Cuál es el elemento químico más abundante en el universo?, Carbono, Oxígeno, Hidrógeno, Hidrógeno
¿Cuál es el país con más ganadores del Premio Nobel?, Alemania, Reino Unido, Estados Unidos, Estados Unidos
¿Cuál es el animal más rápido del mundo?, Águila, León, Guepardo, Guepardo
